town_geocode,town,maine_gis_name,cousub_geocode,cousub_name,cousub_basename,county_fips,county_name,sos_county,geotype,geotype_short,class,perc_cousub,town_ct,rank,gnis_id,gnis_name,tribal_name,voting_name,historical_names,islands,gnis_variants
15000,Lincoln County Island,Lincoln County Island,2301541280,Louds Island UT,Louds Island,015,Lincoln,LIN,Island Group,I,Z3,1.0,1,1,0,,,,[],"[LOUDS ISLAND,MUSCONGUS ISLAND]",[]
19630,Penobscot Indian Island,Indian Island,2301957936,Penobscot Indian Island Reservation,Penobscot Indian Island,019,Penobscot,PEN,Reservation,R,Z2,1.0,1,1,2748815,Indian Island,ALENAPE MENEHA,PENOBSCOT NATION VOTING DISTRICT,[],[],[Indian Island]
29832,Passamaquoddy Indian Township,Indian Twp Res,2302957082,Passamaquoddy Indian Township Reservation,Passamaquoddy Indian Township,029,Washington,WAS,Reservation,R,Z2,1.0,1,1,2418973,Indian Township Reservation,MOTAHKOMIKUK,,[],[],[Indian Township Reservation]
29480,Passamaquoddy Pleasant Point,Pleasant Point,2302957090,Passamaquoddy Pleasant Point Reservation,Passamaquoddy Pleasant Point,029,Washington,WAS,Reservation,R,Z2,1.0,1,1,573503,Pleasant Point Reservation,SIPAYIK,PLEASANT POINT VOTING DISTRICT,[],[],"[Pleasant Point Indian Reservation,Pleasant Point Reservation]"
01010,Auburn,Auburn,2300102060,Auburn city,Auburn,001,Androscoggin,AND,City,C,C5,1.0,1,1,582333,City of Auburn,,,[],[],[City of Auburn]
01050,Lewiston,Lewiston,2300138740,Lewiston city,Lewiston,001,Androscoggin,AND,City,C,C5,1.0,1,1,582554,City of Lewiston,,,[],[],[City of Lewiston]
03080,Caribou,Caribou,2300310565,Caribou city,Caribou,003,Aroostook,ARO,City,C,C5,1.0,1,1,582389,City of Caribou,,,[],[],"[Caribou Township,City of Caribou]"
03530,Presque Isle,Presque Isle,2300360825,Presque Isle city,Presque Isle,003,Aroostook,ARO,City,C,C5,1.0,1,1,582686,City of Presque Isle,,,[],[],[City of Presque Isle]
05170,Portland,Portland,2300560545,Portland city,Portland,005,Cumberland,CUM,City,C,C5,1.0,1,1,582683,City of Portland,,,[],[],"[City of Portland,Portland Township]"
05220,South Portland,South Portland,2300571990,South Portland city,South Portland,005,Cumberland,CUM,City,C,C5,1.0,1,1,582738,City of South Portland,,,[],[],"[City of South Portland,South Portland Township]"
05240,Westbrook,Westbrook,2300582105,Westbrook city,Westbrook,005,Cumberland,CUM,City,C,C5,1.0,1,1,582802,City of Westbrook,,,[],[],"[Stroudwater Township,City of Westbrook,Westbrook Township]"
09130,Ellsworth,Ellsworth,2300923200,Ellsworth city,Ellsworth,009,Hancock,HAN,City,C,C5,1.0,1,1,582465,City of Ellsworth,,,[],[],"[City of Ellsworth,Ellsworth Township]"
11020,Augusta,Augusta,2301102100,Augusta city,Augusta,011,Kennebec,KEN,City,C,C5,1.0,1,1,582334,City of Augusta,,,[],[],"[City of Augusta,Augusta Township]"
11100,Gardiner,Gardiner,2301127085,Gardiner city,Gardiner,011,Kennebec,KEN,City,C,C5,1.0,1,1,582486,City of Gardiner,,,[],[],[City of Gardiner]
11110,Hallowell,Hallowell,2301130550,Hallowell city,Hallowell,011,Kennebec,KEN,City,C,C5,1.0,1,1,582505,City of Hallowell,,,[],[],[City of Hallowell]
